id,title,instructions,meal_id
1,Caprese Salad,Mix the ingredients in a bowl. Let cool before serving. Bake for 30 minutes or until golden.,6
2,Mushroom Risotto,Let cool before serving. Garnish with fresh herbs. Preheat the oven to 350 degrees.,8
3,Tiramisù,Garnish with fresh herbs. Bake for 30 minutes or until golden. Mix the ingredients in a bowl.,6
4,Chicken Parm,Mix the ingredients in a bowl. Bake for 30 minutes or until golden. Garnish with fresh herbs.,8
5,Pappardelle alla Bolognese,Preheat the oven to 350 degrees. Let cool before serving. Bake for 30 minutes or until golden.,5
6,Kebab,Let cool before serving. Mix the ingredients in a bowl. Bake for 30 minutes or until golden.,9
7,Bruschette with Tomato,Let cool before serving. Garnish with fresh herbs. Preheat the oven to 350 degrees.,7
8,Poutine,Preheat the oven to 350 degrees. Let cool before serving. Mix the ingredients in a bowl.,3
9,Pasta Carbonara,Preheat the oven to 350 degrees. Mix the ingredients in a bowl. Let cool before serving.,9
10,Chilli con Carne,Garnish with fresh herbs. Let cool before serving. Mix the ingredients in a bowl.,4
11,Massaman Curry,Garnish with fresh herbs. Preheat the oven to 350 degrees. Mix the ingredients in a bowl.,8
12,Som Tam,Mix the ingredients in a bowl. Preheat the oven to 350 degrees. Garnish with fresh herbs.,1
13,California Maki,Garnish with fresh herbs. Mix the ingredients in a bowl. Bake for 30 minutes or until golden.,6
14,Katsu Curry,Garnish with fresh herbs. Preheat the oven to 350 degrees. Bake for 30 minutes or until golden.,4
15,Meatballs with Sauce,Mix the ingredients in a bowl. Garnish with fresh herbs. Bake for 30 minutes or until golden.,5
16,Hotdogs,Let cool before serving. Mix the ingredients in a bowl. Garnish with fresh herbs.,4
17,French Fries with Sausages,Let cool before serving. Mix the ingredients in a bowl. Bake for 30 minutes or until golden.,7
18,Poke,Let cool before serving. Preheat the oven to 350 degrees. Garnish with fresh herbs.,1
19,Pierogi,Mix the ingredients in a bowl. Garnish with fresh herbs. Bake for 30 minutes or until golden.,6
20,Stinky Tofu,Preheat the oven to 350 degrees. Garnish with fresh herbs. Bake for 30 minutes or until golden.,6
